log_fr,log_Mb,habitat,order,family,genus,species,breath_rate,body_mass,sex,activity_level,individual_name,common_name,age,temp,location
0.255,2.068,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,117,M,2,Cersei,Bottlenose Dolphin,8,28.63,Water
0.38,2.068,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.398832919,117,M,2,Cersei,Bottlenose Dolphin,8,28.7,Water
0.342,2.068,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.197859873,117,M,2,Cersei,Bottlenose Dolphin,8,29.5,Water
0.301,2.013,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,103,M,3,Chaplin,Bottlenose Dolphin,5,27.93,Water
0.447,2.013,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.79898132,103,M,3,Chaplin,Bottlenose Dolphin,5,27.15,Water
0.255,2.013,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,103,M,2,Chaplin,Bottlenose Dolphin,5,27.41,Water
0.342,2.097,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.197859873,125,M,1,Charlie,Bottlenose Dolphin,13,27.9,Water
0.415,2.097,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.600159563,125,M,2,Charlie,Bottlenose Dolphin,13,28.4,Water
0.301,2.097,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,125,M,1,Charlie,Bottlenose Dolphin,13,28,Water
0.38,2.013,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.398832919,103,F,2,Citlalli,Bottlenose Dolphin,10,26.98,Water
0.301,2.013,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,103,F,2,Citlalli,Bottlenose Dolphin,10,27.15,Water
0.301,2.013,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.99986187,103,F,2,Citlalli,Bottlenose Dolphin,10,27.41,Water
0.255,2.42,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,263,M,2,Cobalt,Bottlenose Dolphin,13,31,Water
0.255,2.42,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,263,M,2,Cobalt,Bottlenose Dolphin,13,31,Water
0.204,2.42,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.599558029,263,M,2,Cobalt,Bottlenose Dolphin,13,30,Water
0.146,2.173,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.399587323,149,F,1,Coco,Bottlenose Dolphin,14,28.57,Water
0.342,2.173,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,2.197859873,149,F,2,Coco,Bottlenose Dolphin,14,28.63,Water
0.255,2.173,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.798870915,149,F,2,Coco,Bottlenose Dolphin,14,28.5,Water
0.079,2.246,Aquatic,Artiodactyla,Delphinidae,Tursiops,truncatus,1.199499303,176,M,2,Copernico,Bottlenose Dolphin,23,29,Water
