common_name,individual_name,sex,body_mass,numberbreaths,obsperiod,activity_level,Institution,age,mb,fr,order,family,genus,species,habitat,log_Mb,log_fr,breath_rate,temp,location
Northern Fur Seal,Tuk,M,63,10,5,1,MysticAquarium,5,63,2,Carnivora,Otariidae,Callorhinus ,ursinus,semiaquatic,1.799,0.301,1.99986187,11.0,water
Northern Fur Seal,Tuk,M,63,13,5,1,MysticAquarium,5,63,2.6,Carnivora,Otariidae,Callorhinus ,ursinus,semiaquatic,1.799,0.415,2.600159563,10.9,water
Northern Fur Seal,Tuk,M,66,16,5,1,MysticAquarium,5,66,3.2,Carnivora,Otariidae,Callorhinus ,ursinus,semiaquatic,1.82,0.505,3.19889511,2.2,air
Northern Fur Seal,Tuk,M,66,17,5,1,MysticAquarium,5,66,3.4,Carnivora,Otariidae,Callorhinus ,ursinus,semiaquatic,1.82,0.531,3.396252726,10.4,water
Northern Fur Seal,Yura,F,53,13,5,1,MysticAquarium,16,53,2.6,Carnivora,Otariidae,Callorhinus ,ursinus,semiaquatic,1.724,0.415,2.600159563,9.4,air
Northern Fur Seal,Yura,F,53,17,5,1,MysticAquarium,16,53,3.4,Carnivora,Otariidae,Callorhinus ,ursinus,semiaquatic,1.724,0.531,3.396252726,7.2,air
Northern Fur Seal,Yura,F,53.5,13,5,1,MysticAquarium,16,53.5,2.6,Carnivora,Otariidae,Callorhinus ,ursinus,semiaquatic,1.728,0.415,2.600159563,5.6,air
Northern Fur Seal,Yura,F,53.5,10,5,1,MysticAquarium,16,53.5,2,Carnivora,Otariidae,Callorhinus ,ursinus,semiaquatic,1.728,0.301,1.99986187,10.6,air
Northern Fur Seal,Yura,F,53.5,13,5,1,MysticAquarium,16,53.5,2.6,Carnivora,Otariidae,Callorhinus ,ursinus,semiaquatic,1.728,0.415,2.600159563,10.0,air
White rhinoceros,Banyari,M,2200,32,4.5,1,Kolmarden,25,2200,7.1,Perissodactyla,Rhinocerotidae,Ceratotherium,simum,terrestrial,3.342,0.852,7.112135137,17.7,air
White rhinoceros,Imfolozi,F,1862,18,2,1,Kolmarden,32,1862,9,Perissodactyla,Rhinocerotidae,Ceratotherium,simum,terrestrial,3.27,0.954,8.994975815,15.0,air
White rhinoceros,Imfolozi,F,1820,22,5,1,Kolmarden,32,1820,4.4,Perissodactyla,Rhinocerotidae,Ceratotherium,simum,terrestrial,3.26,0.643,4.395416154,14.0,air
White rhinoceros,Imfolozi,F,1820,27,3,1,Kolmarden,32,1820,9,Perissodactyla,Rhinocerotidae,Ceratotherium,simum,terrestrial,3.26,0.954,8.994975815,14.0,air
White rhinoceros,Imfolozi,F,1820,24,5,1,Kolmarden,32,1820,4.8,Perissodactyla,Rhinocerotidae,Ceratotherium,simum,terrestrial,3.26,0.681,4.797334486,14.4,air
White rhinoceros,Imfolozi,F,1820,16,2,1,Kolmarden,32,1820,8,Perissodactyla,Rhinocerotidae,Ceratotherium,simum,terrestrial,3.26,0.903,7.99834255,14.8,air
White rhinoceros,Imfolozi,F,1862,17,2,1,Kolmarden,32,1862,8.5,Perissodactyla,Rhinocerotidae,Ceratotherium,simum,terrestrial,3.27,0.929,8.49180475,15.0,air
White rhinoceros,Imfolozi,F,1862,19,2,1,Kolmarden,32,1862,9.5,Perissodactyla,Rhinocerotidae,Ceratotherium,simum,terrestrial,3.27,0.978,9.506047937,15.0,air
White rhinoceros,Namakula,F,2138,27,5,1,Kolmarden,26,2138,5.4,Perissodactyla,Rhinocerotidae,Ceratotherium,simum,terrestrial,3.33,0.732,5.395106225,14.0,air
White rhinoceros,Namakula,F,2150,49,5,1,Kolmarden,26,2150,9.8,Perissodactyla,Rhinocerotidae,Ceratotherium,simum,terrestrial,3.332,0.991,9.794899854,14.0,air
White rhinoceros,Namakula,F,2150,26,5,1,Kolmarden,26,2150,5.2,Perissodactyla,Rhinocerotidae,Ceratotherium,simum,terrestrial,3.332,0.716,5.199959965,14.4,air
